unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
ETR|0000065984-26-000285|nonDerivative|2026-07-30|CHAPMAN JASON|M|Common Stock|2573|82.79|D,2026-08-01 03:44:51+0000,ETR,ENTERGY CORP /DE/,0000065984,4,2026-07-31,2026-07-30,0000065984-26-000285,https://www.sec.gov/Archives/edgar/data/65984/000006598426000285/form4.xml,nonDerivative,2026-07-30,M,Common Stock,2573,82.79,213018.67,26623,D,CHAPMAN JASON,"Officer, SVP Chief Tech & Bus Servs Off",,1,,SVP Chief Tech & Bus Servs Off,SEC EDGAR
ETR|0000065984-26-000285|nonDerivative|2026-07-30|CHAPMAN JASON|S|Common Stock|9447|109.06|D,2026-08-01 03:44:51+0000,ETR,ENTERGY CORP /DE/,0000065984,4,2026-07-31,2026-07-30,0000065984-26-000285,https://www.sec.gov/Archives/edgar/data/65984/000006598426000285/form4.xml,nonDerivative,2026-07-30,S,Common Stock,9447,109.06,1030289.8200000001,17176,D,CHAPMAN JASON,"Officer, SVP Chief Tech & Bus Servs Off",,1,,SVP Chief Tech & Bus Servs Off,SEC EDGAR
ETR|0000065984-26-000285|derivative|2026-07-30|CHAPMAN JASON|M|Employee Stock Option (Right to Buy)|5140|0|D,2026-08-01 03:44:51+0000,ETR,ENTERGY CORP /DE/,0000065984,4,2026-07-31,2026-07-30,0000065984-26-000285,https://www.sec.gov/Archives/edgar/data/65984/000006598426000285/form4.xml,derivative,2026-07-30,M,Employee Stock Option (Right to Buy),5140,0,0.0,5140,D,CHAPMAN JASON,"Officer, SVP Chief Tech & Bus Servs Off",,1,,SVP Chief Tech & Bus Servs Off,SEC EDGAR
ETR|0000065984-26-000285|derivative|2026-07-30|CHAPMAN JASON|M|Employee Stock Option (Right to Buy)|1734|0|D,2026-08-01 03:44:51+0000,ETR,ENTERGY CORP /DE/,0000065984,4,2026-07-31,2026-07-30,0000065984-26-000285,https://www.sec.gov/Archives/edgar/data/65984/000006598426000285/form4.xml,derivative,2026-07-30,M,Employee Stock Option (Right to Buy),1734,0,0.0,0,D,CHAPMAN JASON,"Officer, SVP Chief Tech & Bus Servs Off",,1,,SVP Chief Tech & Bus Servs Off,SEC EDGAR
ETR|0000065984-26-000285|derivative|2026-07-30|CHAPMAN JASON|M|Employee Stock Option (Right to Buy)|2573|0|D,2026-08-01 03:44:51+0000,ETR,ENTERGY CORP /DE/,0000065984,4,2026-07-31,2026-07-30,0000065984-26-000285,https://www.sec.gov/Archives/edgar/data/65984/000006598426000285/form4.xml,derivative,2026-07-30,M,Employee Stock Option (Right to Buy),2573,0,0.0,5146,D,CHAPMAN JASON,"Officer, SVP Chief Tech & Bus Servs Off",,1,,SVP Chief Tech & Bus Servs Off,SEC EDGAR
ECL|0001628280-26-051448|nonDerivative|2026-07-30|Kirkland Scott D|M|Common Stock|3972|117.73|D,2026-08-01 03:44:51+0000,ECL,ECOLAB INC.,0000031462,4,2026-07-31,2026-07-30,0001628280-26-051448,https://www.sec.gov/Archives/edgar/data/31462/000162828026051448/wk-form4_1785530778.xml,nonDerivative,2026-07-30,M,Common Stock,3972,117.73,467623.56,20881.412,D,Kirkland Scott D,"Officer, CHIEF FINANCIAL OFFICER",0,1,0,CHIEF FINANCIAL OFFICER,SEC EDGAR
ECL|0001628280-26-051448|nonDerivative|2026-07-30|Kirkland Scott D|S|Common Stock|3357|276.96|D,2026-08-01 03:44:51+0000,ECL,ECOLAB INC.,0000031462,4,2026-07-31,2026-07-30,0001628280-26-051448,https://www.sec.gov/Archives/edgar/data/31462/000162828026051448/wk-form4_1785530778.xml,nonDerivative,2026-07-30,S,Common Stock,3357,276.96,929754.72,17524.412,D,Kirkland Scott D,"Officer, CHIEF FINANCIAL OFFICER",0,1,0,CHIEF FINANCIAL OFFICER,SEC EDGAR
ECL|0001628280-26-051448|derivative|2026-07-30|Kirkland Scott D|M|Employee Stock Option (Right to Buy)|3972|0|D,2026-08-01 03:44:51+0000,ECL,ECOLAB INC.,0000031462,4,2026-07-31,2026-07-30,0001628280-26-051448,https://www.sec.gov/Archives/edgar/data/31462/000162828026051448/wk-form4_1785530778.xml,derivative,2026-07-30,M,Employee Stock Option (Right to Buy),3972,0,0.0,0,D,Kirkland Scott D,"Officer, CHIEF FINANCIAL OFFICER",0,1,0,CHIEF FINANCIAL OFFICER,SEC EDGAR
CBRE|0001225208-26-006861|nonDerivative|2026-07-29|Kohli Vikramaditya|S|Class A Common Stock|2666.0000|150.0000|D,2026-08-01 03:44:51+0000,CBRE,"CBRE GROUP, INC.",0001138118,4,2026-07-31,2026-07-29,0001225208-26-006861,https://www.sec.gov/Archives/edgar/data/1138118/000122520826006861/doc4.xml,nonDerivative,2026-07-29,S,Class A Common Stock,2666.0000,150.0000,399900.0,134869.0000,D,Kohli Vikramaditya,"Officer, COO & CEO, Advisory Services",,1,,"COO & CEO, Advisory Services",SEC EDGAR
AMT|0001053507-26-000137|nonDerivative|2026-07-29|Meyer Robert Joseph|S|Common Stock|5000|178.89|D,2026-08-01 03:44:51+0000,AMT,AMERICAN TOWER CORP /MA/,0001053507,4,2026-07-31,2026-07-29,0001053507-26-000137,https://www.sec.gov/Archives/edgar/data/1053507/000105350726000137/wk-form4_1785528506.xml,nonDerivative,2026-07-29,S,Common Stock,5000,178.89,894449.9999999999,21428,D,Meyer Robert Joseph,"Officer, SVP & Advisor to the CFO",0,1,0,SVP & Advisor to the CFO,SEC EDGAR
ADP|0001225208-26-006860|nonDerivative|2026-07-30|Kwon David|M|Common Stock|887.0000|138.5300|D,2026-08-01 03:44:51+0000,ADP,AUTOMATIC DATA PROCESSING INC,0000008670,4,2026-07-31,2026-07-30,0001225208-26-006860,https://www.sec.gov/Archives/edgar/data/8670/000122520826006860/doc4.xml,nonDerivative,2026-07-30,M,Common Stock,887.0000,138.5300,122876.11,12073.5530,D,Kwon David,"Officer, Corp VP",,1,,Corp VP,SEC EDGAR
ADP|0001225208-26-006860|nonDerivative|2026-07-30|Kwon David|S|Common Stock|474.0000|265.6200|D,2026-08-01 03:44:51+0000,ADP,AUTOMATIC DATA PROCESSING INC,0000008670,4,2026-07-31,2026-07-30,0001225208-26-006860,https://www.sec.gov/Archives/edgar/data/8670/000122520826006860/doc4.xml,nonDerivative,2026-07-30,S,Common Stock,474.0000,265.6200,125903.88,11599.5530,D,Kwon David,"Officer, Corp VP",,1,,Corp VP,SEC EDGAR
ADP|0001225208-26-006860|nonDerivative|2026-07-30|Kwon David|S|Common Stock|887.0000|265.6200|D,2026-08-01 03:44:51+0000,ADP,AUTOMATIC DATA PROCESSING INC,0000008670,4,2026-07-31,2026-07-30,0001225208-26-006860,https://www.sec.gov/Archives/edgar/data/8670/000122520826006860/doc4.xml,nonDerivative,2026-07-30,S,Common Stock,887.0000,265.6200,235604.94,10712.5530,D,Kwon David,"Officer, Corp VP",,1,,Corp VP,SEC EDGAR
ADP|0001225208-26-006860|nonDerivative|2026-07-30|Kwon David|S|Common Stock|1053.0000|265.6200|D,2026-08-01 03:44:51+0000,ADP,AUTOMATIC DATA PROCESSING INC,0000008670,4,2026-07-31,2026-07-30,0001225208-26-006860,https://www.sec.gov/Archives/edgar/data/8670/000122520826006860/doc4.xml,nonDerivative,2026-07-30,S,Common Stock,1053.0000,265.6200,279697.86,9659.5530,D,Kwon David,"Officer, Corp VP",,1,,Corp VP,SEC EDGAR
ADP|0001225208-26-006860|derivative|2026-07-30|Kwon David|M|Stock Option (Right to Buy)|887.0000|138.5300|D,2026-08-01 03:44:51+0000,ADP,AUTOMATIC DATA PROCESSING INC,0000008670,4,2026-07-31,2026-07-30,0001225208-26-006860,https://www.sec.gov/Archives/edgar/data/8670/000122520826006860/doc4.xml,derivative,2026-07-30,M,Stock Option (Right to Buy),887.0000,138.5300,122876.11,1387.0000,D,Kwon David,"Officer, Corp VP",,1,,Corp VP,SEC EDGAR
ADBE|0000796343-26-000137|nonDerivative|2026-07-29|Forusz Jillian|S|Common Stock|416|264.33|D,2026-08-01 03:44:51+0000,ADBE,ADOBE INC.,0000796343,4,2026-07-31,2026-07-29,0000796343-26-000137,https://www.sec.gov/Archives/edgar/data/796343/000079634326000137/wk-form4_1785531148.xml,nonDerivative,2026-07-29,S,Common Stock,416,264.33,109961.28,3824.156,D,Forusz Jillian,"Officer, SVP & CAO",0,1,0,SVP & CAO,SEC EDGAR
ACN|0001783059-26-000014|nonDerivative|2026-07-30|Unruch Joel|S|Class A ordinary shares|1373|160.8633|D,2026-08-01 03:44:51+0000,ACN,Accenture plc,0001467373,4,2026-07-31,2026-07-30,0001783059-26-000014,https://www.sec.gov/Archives/edgar/data/1467373/000178305926000014/wk-form4_1785528265.xml,nonDerivative,2026-07-30,S,Class A ordinary shares,1373,160.8633,220865.3109,26860,D,Unruch Joel,"Officer, General Counsel/Corp Secretary",0,1,0,General Counsel/Corp Secretary,SEC EDGAR
ACN|0001783059-26-000014|nonDerivative|2026-07-30|Unruch Joel|S|Class A ordinary shares|3555|162.2949|D,2026-08-01 03:44:51+0000,ACN,Accenture plc,0001467373,4,2026-07-31,2026-07-30,0001783059-26-000014,https://www.sec.gov/Archives/edgar/data/1467373/000178305926000014/wk-form4_1785528265.xml,nonDerivative,2026-07-30,S,Class A ordinary shares,3555,162.2949,576958.3695,23305,D,Unruch Joel,"Officer, General Counsel/Corp Secretary",0,1,0,General Counsel/Corp Secretary,SEC EDGAR
ACN|0001783059-26-000014|nonDerivative|2026-07-30|Unruch Joel|S|Class A ordinary shares|2569|163.2708|D,2026-08-01 03:44:51+0000,ACN,Accenture plc,0001467373,4,2026-07-31,2026-07-30,0001783059-26-000014,https://www.sec.gov/Archives/edgar/data/1467373/000178305926000014/wk-form4_1785528265.xml,nonDerivative,2026-07-30,S,Class A ordinary shares,2569,163.2708,419442.6852,20736,D,Unruch Joel,"Officer, General Counsel/Corp Secretary",0,1,0,General Counsel/Corp Secretary,SEC EDGAR
ACN|0001783059-26-000014|nonDerivative|2026-07-30|Unruch Joel|S|Class A ordinary shares|2772|164.4409|D,2026-08-01 03:44:51+0000,ACN,Accenture plc,0001467373,4,2026-07-31,2026-07-30,0001783059-26-000014,https://www.sec.gov/Archives/edgar/data/1467373/000178305926000014/wk-form4_1785528265.xml,nonDerivative,2026-07-30,S,Class A ordinary shares,2772,164.4409,455830.1748,17964,D,Unruch Joel,"Officer, General Counsel/Corp Secretary",0,1,0,General Counsel/Corp Secretary,SEC EDGAR
ACN|0001783059-26-000014|nonDerivative|2026-07-30|Unruch Joel|S|Class A ordinary shares|229|165.1631|D,2026-08-01 03:44:51+0000,ACN,Accenture plc,0001467373,4,2026-07-31,2026-07-30,0001783059-26-000014,https://www.sec.gov/Archives/edgar/data/1467373/000178305926000014/wk-form4_1785528265.xml,nonDerivative,2026-07-30,S,Class A ordinary shares,229,165.1631,37822.349899999994,17735,D,Unruch Joel,"Officer, General Counsel/Corp Secretary",0,1,0,General Counsel/Corp Secretary,SEC EDGAR
TPL|0001437749-26-024994|nonDerivative|2026-07-29|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|394.14|D,2026-08-01 03:44:51+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-07-30,2026-07-29,0001437749-26-024994,https://www.sec.gov/Archives/edgar/data/1811074/000143774926024994/rdgdoc.xml,nonDerivative,2026-07-29,P,Common Stock,1,394.14,394.14,3263686,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
TFC|0001649626-26-000006|nonDerivative|2026-07-28|Bessant Catherine P|A|Common Stock|2338.0000|0.0000|D,2026-08-01 03:44:51+0000,TFC,TRUIST FINANCIAL CORP,0000092230,4,2026-07-30,2026-07-28,0001649626-26-000006,https://www.sec.gov/Archives/edgar/data/92230/000164962626000006/f4_a1eus000009stlxmac-live.xml,nonDerivative,2026-07-28,A,Common Stock,2338.0000,0.0000,0.0,2338.0000,D,Bessant Catherine P,,true,false,false,,SEC EDGAR
TECH|0000914190-26-000106|nonDerivative|2026-07-28|Kelderman Kim|M|Common Stock|35000|47.60|D,2026-08-01 03:44:51+0000,TECH,BIO-TECHNE Corp,0000842023,4,2026-07-30,2026-07-28,0000914190-26-000106,https://www.sec.gov/Archives/edgar/data/842023/000091419026000106/form4.xml,nonDerivative,2026-07-28,M,Common Stock,35000,47.60,1666000.0,100799,D,Kelderman Kim,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
TECH|0000914190-26-000106|nonDerivative|2026-07-28|Kelderman Kim|F|Common Stock|28686|72.07|D,2026-08-01 03:44:51+0000,TECH,BIO-TECHNE Corp,0000842023,4,2026-07-30,2026-07-28,0000914190-26-000106,https://www.sec.gov/Archives/edgar/data/842023/000091419026000106/form4.xml,nonDerivative,2026-07-28,F,Common Stock,28686,72.07,2067400.0199999998,72113,D,Kelderman Kim,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
TECH|0000914190-26-000106|derivative|2026-07-28|Kelderman Kim|M|Stock Option (Right to Buy)|35000|0|D,2026-08-01 03:44:51+0000,TECH,BIO-TECHNE Corp,0000842023,4,2026-07-30,2026-07-28,0000914190-26-000106,https://www.sec.gov/Archives/edgar/data/842023/000091419026000106/form4.xml,derivative,2026-07-28,M,Stock Option (Right to Buy),35000,0,0.0,0,D,Kelderman Kim,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
SYF|0001614719-26-000010|nonDerivative|2026-07-28|DOUBLES BRIAN D|F|Common Stock|2353|77.12|D,2026-08-01 03:44:51+0000,SYF,Synchrony Financial,0001601712,4,2026-07-30,2026-07-28,0001614719-26-000010,https://www.sec.gov/Archives/edgar/data/1601712/000161471926000010/wk-form4_1785445712.xml,nonDerivative,2026-07-28,F,Common Stock,2353,77.12,181463.36000000002,827886,D,DOUBLES BRIAN D,"Director, Officer, See remarks",1,1,0,See remarks,SEC EDGAR
SCHW|0001950787-26-000009|nonDerivative|2026-07-28|Schwab-Pomerantz Carolyn|S|Common Stock|22650|105.713|I,2026-08-01 03:44:51+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-07-30,2026-07-28,0001950787-26-000009,https://www.sec.gov/Archives/edgar/data/316709/000195078726000009/wk-form4_1785458029.xml,nonDerivative,2026-07-28,S,Common Stock,22650,105.713,2394399.4499999997,1373808.6599,I,Schwab-Pomerantz Carolyn,Director,1,0,0,,SEC EDGAR
SCHW|0001950787-26-000009|nonDerivative|2026-07-28|Schwab-Pomerantz Carolyn|G|Common Stock|271|0|I,2026-08-01 03:44:51+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-07-30,2026-07-28,0001950787-26-000009,https://www.sec.gov/Archives/edgar/data/316709/000195078726000009/wk-form4_1785458029.xml,nonDerivative,2026-07-28,G,Common Stock,271,0,0.0,1373537.6599,I,Schwab-Pomerantz Carolyn,Director,1,0,0,,SEC EDGAR
SCHW|0000923738-26-000031|nonDerivative|2026-07-28|Schwab Charles R.|S|Common Stock|48000|105.5964|I,2026-08-01 03:44:51+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-07-30,2026-07-28,0000923738-26-000031,https://www.sec.gov/Archives/edgar/data/316709/000092373826000031/wk-form4_1785459472.xml,nonDerivative,2026-07-28,S,Common Stock,48000,105.5964,5068627.2,54080841,I,Schwab Charles R.,"Director, Officer, Co-Chairman",1,1,0,Co-Chairman,SEC EDGAR
SCHW|0000923738-26-000031|nonDerivative|2026-07-28|Schwab Charles R.|G|Common Stock|60000|0|I,2026-08-01 03:44:51+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-07-30,2026-07-28,0000923738-26-000031,https://www.sec.gov/Archives/edgar/data/316709/000092373826000031/wk-form4_1785459472.xml,nonDerivative,2026-07-28,G,Common Stock,60000,0,0.0,54020841,I,Schwab Charles R.,"Director, Officer, Co-Chairman",1,1,0,Co-Chairman,SEC EDGAR
SCHW|0000923738-26-000031|nonDerivative|2026-07-29|Schwab Charles R.|S|Common Stock|95450|105.8152|I,2026-08-01 03:44:51+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-07-30,2026-07-28,0000923738-26-000031,https://www.sec.gov/Archives/edgar/data/316709/000092373826000031/wk-form4_1785459472.xml,nonDerivative,2026-07-29,S,Common Stock,95450,105.8152,10100060.84,30114318,I,Schwab Charles R.,"Director, Officer, Co-Chairman",1,1,0,Co-Chairman,SEC EDGAR
SCHW|0001825454-26-000023|nonDerivative|2026-07-28|Howard Dennis|M|Common Stock|28000|64.10|D,2026-08-01 03:44:51+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-07-30,2026-07-28,0001825454-26-000023,https://www.sec.gov/Archives/edgar/data/316709/000182545426000023/wk-form4_1785454977.xml,nonDerivative,2026-07-28,M,Common Stock,28000,64.10,1794799.9999999998,38470,D,Howard Dennis,"Officer, MD, Chief Tech, OPS & Data Off",0,1,0,"MD, Chief Tech, OPS & Data Off",SEC EDGAR
SCHW|0001825454-26-000023|nonDerivative|2026-07-28|Howard Dennis|S|Common Stock|28000|105.0094|D,2026-08-01 03:44:51+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-07-30,2026-07-28,0001825454-26-000023,https://www.sec.gov/Archives/edgar/data/316709/000182545426000023/wk-form4_1785454977.xml,nonDerivative,2026-07-28,S,Common Stock,28000,105.0094,2940263.2,10470,D,Howard Dennis,"Officer, MD, Chief Tech, OPS & Data Off",0,1,0,"MD, Chief Tech, OPS & Data Off",SEC EDGAR
SCHW|0001825454-26-000023|derivative|2026-07-28|Howard Dennis|M|Nonqualified Stock Option (right to buy)|28000|0|D,2026-08-01 03:44:51+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-07-30,2026-07-28,0001825454-26-000023,https://www.sec.gov/Archives/edgar/data/316709/000182545426000023/wk-form4_1785454977.xml,derivative,2026-07-28,M,Nonqualified Stock Option (right to buy),28000,0,0.0,56000,D,Howard Dennis,"Officer, MD, Chief Tech, OPS & Data Off",0,1,0,"MD, Chief Tech, OPS & Data Off",SEC EDGAR
RCL|0002112888-26-000012|nonDerivative|2026-05-28|Wiernicki Christopher J|A|Common Stock|571|0|D,2026-08-01 03:44:51+0000,RCL,ROYAL CARIBBEAN CRUISES LTD,0000884887,4/A,2026-07-30,2026-05-28,0002112888-26-000012,https://www.sec.gov/Archives/edgar/data/884887/000211288826000012/wk-form4a_1785443846.xml,nonDerivative,2026-05-28,A,Common Stock,571,0,0.0,922,D,Wiernicki Christopher J,Director,1,0,0,,SEC EDGAR
PYPL|0001905272-26-000012|nonDerivative|2026-07-29|Natali Chris|S|Common Stock|1337|58.1|D,2026-08-01 03:44:51+0000,PYPL,"PayPal Holdings, Inc.",0001633917,4,2026-07-30,2026-07-29,0001905272-26-000012,https://www.sec.gov/Archives/edgar/data/1633917/000190527226000012/edgardoc.xml,nonDerivative,2026-07-29,S,Common Stock,1337,58.1,77679.7,2216,D,Natali Chris,"Officer, SVP, Chief Accounting Officer",0,1,0,"SVP, Chief Accounting Officer",SEC EDGAR
PYPL|0002006416-26-000013|nonDerivative|2026-07-29|Keller Frank|S|Common Stock|732|58.1|D,2026-08-01 03:44:51+0000,PYPL,"PayPal Holdings, Inc.",0001633917,4,2026-07-30,2026-07-29,0002006416-26-000013,https://www.sec.gov/Archives/edgar/data/1633917/000200641626000013/edgardoc.xml,nonDerivative,2026-07-29,S,Common Stock,732,58.1,42529.200000000004,41567,D,Keller Frank,"Officer, Pres., Checkout Sol. & PayPal",0,1,0,"Pres., Checkout Sol. & PayPal",SEC EDGAR
PSA|0001726283-26-000004|derivative|2026-07-28|Johnson Natalia|M|AO LTIP Units|10327||D,2026-08-01 03:44:51+0000,PSA,Public Storage,0001393311,4,2026-07-30,2026-07-28,0001726283-26-000004,https://www.sec.gov/Archives/edgar/data/1393311/000172628326000004/wk-form4_1785454040.xml,derivative,2026-07-28,M,AO LTIP Units,10327,,,0,D,Johnson Natalia,"Officer, CD&TO",0,1,0,CD&TO,SEC EDGAR
PSA|0001726283-26-000004|derivative|2026-07-28|Johnson Natalia|M|LTIP Units|3284|0|D,2026-08-01 03:44:51+0000,PSA,Public Storage,0001393311,4,2026-07-30,2026-07-28,0001726283-26-000004,https://www.sec.gov/Archives/edgar/data/1393311/000172628326000004/wk-form4_1785454040.xml,derivative,2026-07-28,M,LTIP Units,3284,0,0.0,26493,D,Johnson Natalia,"Officer, CD&TO",0,1,0,CD&TO,SEC EDGAR
PSA|0001227384-26-000017|derivative|2026-07-29|HAVNER RONALD L JR|M|AO LTIP Units|103275||D,2026-08-01 03:44:51+0000,PSA,Public Storage,0001393311,4,2026-07-30,2026-07-29,0001227384-26-000017,https://www.sec.gov/Archives/edgar/data/1393311/000122738426000017/wk-form4_1785446591.xml,derivative,2026-07-29,M,AO LTIP Units,103275,,,0,D,HAVNER RONALD L JR,Director,1,0,0,,SEC EDGAR
PSA|0001227384-26-000017|derivative|2026-07-29|HAVNER RONALD L JR|M|LTIP Units|34599.51|0|D,2026-08-01 03:44:51+0000,PSA,Public Storage,0001393311,4,2026-07-30,2026-07-29,0001227384-26-000017,https://www.sec.gov/Archives/edgar/data/1393311/000122738426000017/wk-form4_1785446591.xml,derivative,2026-07-29,M,LTIP Units,34599.51,0,0.0,182393.91,D,HAVNER RONALD L JR,Director,1,0,0,,SEC EDGAR
"PRU|0001104659-26-088646|nonDerivative|2026-07-28|PRUDENTIAL INSURANCE CO OF AMERICA|S|Class I common shares of beneficial interest, par val $0.001|214746.359|24.75|I",2026-08-01 03:44:51+0000,PRU,PRUDENTIAL FINANCIAL INC,0001137774,4,2026-07-30,2026-07-28,0001104659-26-088646,https://www.sec.gov/Archives/edgar/data/1137774/000110465926088646/tm2621669-1_4seq1.xml,nonDerivative,2026-07-28,S,"Class I common shares of beneficial interest, par val $0.001",214746.359,24.75,5314972.38525,7973656.68,I,PRUDENTIAL INSURANCE CO OF AMERICA,10% Owner,0,0,1,,SEC EDGAR
NTRS|0002033834-26-000019|nonDerivative|2026-07-29|Moritz Robert Edward Jr.|P|Common Stock|255|179.57|D,2026-08-01 03:44:51+0000,NTRS,NORTHERN TRUST CORP,0000073124,4,2026-07-30,2026-07-29,0002033834-26-000019,https://www.sec.gov/Archives/edgar/data/73124/000203383426000019/wk-form4_1785441999.xml,nonDerivative,2026-07-29,P,Common Stock,255,179.57,45790.35,8400,D,Moritz Robert Edward Jr.,Director,1,0,0,,SEC EDGAR
LW|0001904829-26-000006|nonDerivative|2026-07-28|Younes Steven J|A|Common Stock|6957|0|D,2026-08-01 03:44:51+0000,LW,"Lamb Weston Holdings, Inc.",0001679273,4,2026-07-30,2026-07-28,0001904829-26-000006,https://www.sec.gov/Archives/edgar/data/1679273/000190482926000006/form4-07302026_090737.xml,nonDerivative,2026-07-28,A,Common Stock,6957,0,0.0,46352.7,D,Younes Steven J,CHIEF HUMAN RESOURCES OFFICER,false,true,false,CHIEF HUMAN RESOURCES OFFICER,SEC EDGAR
LW|0002031596-26-000004|nonDerivative|2026-07-28|Wilks Sylvia|A|Common Stock|8971|0|D,2026-08-01 03:44:51+0000,LW,"Lamb Weston Holdings, Inc.",0001679273,4,2026-07-30,2026-07-28,0002031596-26-000004,https://www.sec.gov/Archives/edgar/data/1679273/000203159626000004/form4-07302026_090751.xml,nonDerivative,2026-07-28,A,Common Stock,8971,0,0.0,44626.3,D,Wilks Sylvia,Chief Supply Chain Officer,false,true,false,Chief Supply Chain Officer,SEC EDGAR
LW|0001353531-26-000006|nonDerivative|2026-07-28|Spytek Eryk J|A|Common Stock|8788|0|D,2026-08-01 03:44:51+0000,LW,"Lamb Weston Holdings, Inc.",0001679273,4,2026-07-30,2026-07-28,0001353531-26-000006,https://www.sec.gov/Archives/edgar/data/1679273/000135353126000006/form4-07302026_090705.xml,nonDerivative,2026-07-28,A,Common Stock,8788,0,0.0,35993,D,Spytek Eryk J,GEN COUNSEL & CHIEF COMPL OFF,false,true,false,GEN COUNSEL & CHIEF COMPL OFF,SEC EDGAR
